order,SampleA,SampleB,type,coeff
1,P-22-20006,P-22-20006,same lineage,1
2,P-21-20045,P-22-20006,same lineage,-0.164637808
3,R-21-10099,P-22-20006,same lineage,-0.191179464
4,R-21-10111,P-22-20006,same lineage,-0.183366908
5,P-21-20135,P-22-20006,same lineage,-0.12397915
6,P-21-20119,P-22-20006,same lineage,-0.152275565
7,P-22-20227,P-22-20006,same lineage,-0.181954394
8,UW15953O,P-22-20006,same lineage,0.066436973
9,R-21-10122,P-22-20006,same lineage,0.004748368
10,P-21-20167,P-22-20006,same lineage,0.023626761
11,P-22-20168,P-22-20006,same lineage,0.034805024
12,UW15993L,P-22-20006,same lineage,0.034645735
13,UW15993O,P-22-20006,same lineage,0.004406336
14,UW15977O,P-22-20006,same patient,0.934995297
15,R-22-10139,P-22-20006,same lineage,-0.184012115
16,P-22-20198,P-22-20006,same lineage,-0.176301941
17,UW15970L,P-22-20006,opposite lineage,-0.166236339
18,P-22-20282,P-22-20006,opposite lineage,-0.1593581
19,R-22-10209,P-22-20006,opposite lineage,-0.177316368
20,V-21-40001,P-22-20006,opposite lineage,-0.205040387
21,V-21-40015,P-22-20006,opposite lineage,-0.214157943
22,V-21-40005,P-22-20006,opposite lineage,-0.183296268
23,UW15939L,P-22-20006,opposite lineage,-0.090798278
24,R-21-10052,P-22-20006,opposite lineage,0.00029527
25,R-21-10091,P-22-20006,opposite lineage,-0.099227819
26,P-21-20120,P-22-20006,opposite lineage,0.033761836
27,P-21-20116,P-22-20006,opposite lineage,0.15804518
28,UW16057L,P-22-20006,opposite lineage,-0.003683469
29,P-21-20045,P-21-20045,same lineage,1
30,R-21-10099,P-21-20045,same lineage,-0.234269764
31,R-21-10111,P-21-20045,same lineage,-0.196380418
32,P-21-20135,P-21-20045,same lineage,-0.156347492
33,P-21-20119,P-21-20045,same lineage,0.013340938
34,P-22-20227,P-21-20045,same lineage,-0.225518422
35,UW15953O,P-21-20045,same lineage,0.023666838
36,R-21-10122,P-21-20045,same lineage,-0.282347435
37,P-21-20167,P-21-20045,same lineage,-0.084487483
38,P-22-20168,P-21-20045,same lineage,-0.046064679
39,UW15993L,P-21-20045,same lineage,-0.206960711
40,UW15993O,P-21-20045,same lineage,-0.233788982
41,UW15977O,P-21-20045,same lineage,-0.276916783
42,R-22-10139,P-21-20045,same lineage,0.001986208
43,P-22-20198,P-21-20045,same lineage,0.006857114
44,UW15970L,P-21-20045,opposite lineage,-0.240164531
45,P-22-20282,P-21-20045,opposite lineage,-0.207110319
46,R-22-10209,P-21-20045,opposite lineage,-0.229797234
47,V-21-40001,P-21-20045,opposite lineage,-0.266067708
48,V-21-40015,P-21-20045,opposite lineage,-0.302547514
49,V-21-40005,P-21-20045,opposite lineage,-0.247126858
50,UW15939L,P-21-20045,opposite lineage,-0.156935005
51,R-21-10052,P-21-20045,opposite lineage,-0.074885371
52,R-21-10091,P-21-20045,opposite lineage,-0.150770955
53,P-21-20120,P-21-20045,opposite lineage,-0.200082368
54,P-21-20116,P-21-20045,opposite lineage,-0.148461763
55,UW16057L,P-21-20045,opposite lineage,-0.028318356
56,R-21-10099,R-21-10099,same lineage,1
57,R-21-10111,R-21-10099,same lineage,-0.233758236
58,P-21-20135,R-21-10099,same lineage,-0.08241706
59,P-21-20119,R-21-10099,same lineage,-0.253808609
60,P-22-20227,R-21-10099,same lineage,-0.258004941
61,UW15953O,R-21-10099,same lineage,-0.009175713
62,R-21-10122,R-21-10099,same lineage,-0.170004589
63,P-21-20167,R-21-10099,same lineage,-0.377698696
64,P-22-20168,R-21-10099,same lineage,-0.083872648
65,UW15993L,R-21-10099,same lineage,-0.26097664
66,UW15993O,R-21-10099,same lineage,-0.406851352
67,UW15977O,R-21-10099,same lineage,-0.35831182
68,R-22-10139,R-21-10099,same lineage,0.01517343
69,P-22-20198,R-21-10099,same lineage,-0.057835002
70,UW15970L,R-21-10099,opposite lineage,-0.140054621
71,P-22-20282,R-21-10099,opposite lineage,-0.248507652
72,R-22-10209,R-21-10099,opposite lineage,-0.248223639
73,V-21-40001,R-21-10099,opposite lineage,-0.130179572
74,V-21-40015,R-21-10099,opposite lineage,-0.372493139
75,V-21-40005,R-21-10099,opposite lineage,-0.317592183
76,UW15939L,R-21-10099,opposite lineage,-0.168170383
77,R-21-10052,R-21-10099,opposite lineage,-0.357732122
78,R-21-10091,R-21-10099,opposite lineage,-0.184267204
79,P-21-20120,R-21-10099,opposite lineage,-0.247435189
80,P-21-20116,R-21-10099,opposite lineage,-0.1508154
81,UW16057L,R-21-10099,opposite lineage,-0.379221379
82,R-21-10111,R-21-10111,same lineage,1
83,P-21-20135,R-21-10111,same patient,0.579069541
84,P-21-20119,R-21-10111,same lineage,-0.139008763
85,P-22-20227,R-21-10111,same lineage,0.048150482
86,UW15953O,R-21-10111,same lineage,-0.192039385
87,R-21-10122,R-21-10111,same lineage,-0.208531871
88,P-21-20167,R-21-10111,same lineage,-0.207616814
89,P-22-20168,R-21-10111,same lineage,-0.216091766
90,UW15993L,R-21-10111,same lineage,-0.069773982
91,UW15993O,R-21-10111,same lineage,-0.193498403
92,UW15977O,R-21-10111,same lineage,-0.271430754
93,R-22-10139,R-21-10111,same lineage,-0.226337682
94,P-22-20198,R-21-10111,same lineage,-0.22601011
95,UW15970L,R-21-10111,opposite lineage,-0.235084975
96,P-22-20282,R-21-10111,opposite lineage,-0.138802414
97,R-22-10209,R-21-10111,opposite lineage,-0.159672607
98,V-21-40001,R-21-10111,opposite lineage,-0.194000935
99,V-21-40015,R-21-10111,opposite lineage,-0.209657699
100,V-21-40005,R-21-10111,opposite lineage,-0.177749789
101,UW15939L,R-21-10111,opposite lineage,-0.16324725
