Name,UW15939L,UW15970L,UW16057L,R-22-10209,R-21-10091,R-21-10052,P-21-20120,P-22-20282,P-21-20116,V-21-40005,V-21-40001,V-21-40015,UW15977O,R-21-10111,R-21-10099,R-22-10139,R-21-10122,P-21-20135,P-22-20006,P-22-20227,P-22-20198,P-21-20119,P-21-20045,UW15953O,UW15993L,UW15993O,P-21-20167,P-22-20168,Region,DS,Minimum
V4-DS47,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,V4,DS47,617
V5-DS46,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,V5,DS46,673
V6-DS44,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,V6,DS44,769
V3-DS43,0,2,1,0,0,0,1,0,1,0,1,0,0,5,3,2,0,4,1,2,0,0,0,1,1,1,1,1,V3,DS43,772
V6-DS42,3,0,1,1,0,0,0,0,3,0,0,1,0,1,0,0,0,3,0,0,0,1,1,0,0,1,1,0,V6,DS42,852
V3-DS48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V3,DS48,857
V3-DS41,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,V3,DS41,932
V6-DS40,1,2,1,0,2,0,1,0,3,0,0,0,0,3,0,0,0,5,2,1,0,2,0,0,0,0,0,0,V6,DS40,939
V7-DS39,3,3,0,0,4,0,2,0,2,0,3,0,1,1,1,1,0,3,3,1,1,2,1,2,1,1,1,3,V7,DS39,1161
V2-DS38,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,V2,DS38,1221
V1-DS37,0,0,1,1,1,0,0,2,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,V1,DS37,1309
V4-DS36,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,V4,DS36,1367
V5-DS35,1,0,0,2,0,0,0,2,4,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,V5,DS35,1422
V6-DS33,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,V6,DS33,1533
V3-DS34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V3,DS34,1549
V3-DS32,0,0,0,0,1,0,0,0,2,0,0,0,2,3,0,1,1,2,1,0,2,0,0,0,0,0,0,0,V3,DS32,1593
V6-DS49,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,V6,DS49,1599
V7-DS31,2,0,5,1,0,0,0,0,2,0,0,0,0,2,2,1,0,1,3,4,1,2,3,0,3,0,1,1,V7,DS31,1655
V2-DS30,1,0,1,1,2,1,1,0,1,1,0,0,0,2,1,1,0,3,1,0,1,1,0,0,1,1,0,1,V2,DS30,1747
V1-DS29,1,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,2,2,1,0,0,2,0,0,0,0,1,V1,DS29,1833
